"notation","title","description","id","title_en","description_en"
"1","Inhaltsbereich: Elektrische und magnetische Felder","","c3e",,
"1.1","Das Feldkonzept zur Beschreibung von Wechselwirkungen","","r2q",,
"1.1.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","e5r",,
"1.1.1.1","Begriff des Feldes am Beispiel von elektrischen und magnetischen Feldern","","q3y",,
"1.1.1.2","Elektrische Feldstärke","","c5z",,
"1.1.1.3","Elektrische Energie in einem geladenen Kondensator","","v6z",,
"1.1.1.4","Kondensator als Energiespeicher, Kapazität","","r7g",,
"1.1.1.5","Magnetische Flussdichte","","z4p",,
"1.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","e5b",,
"1.1.2.2","Coulomb’sches Gesetz","","q6b",,
"1.1.2.3","Spannung als Potentialdifferenz","","y3y",,
"1.1.2.5","Spule und ihre Eigenschaften, insbesondere Induktivität","","e4e",,
"1.2","Körper in statischen Feldern","","g9z",,
"1.2.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","q7g",,
"1.2.1.1","Kräfte auf Körper in homogenen elektrischen und magnetischen Feldern, Bahnformen (qualitativ)","","f4x",,
"1.2.1.2","Energiebetrachtungen von Körpern in homogenen elektrischen Feldern","","h3s",,
"1.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","c3b",,
"1.2.2.1","Quantitative Betrachtung von Bahnformen in homogenen Feldern","","q2z",,
"1.3","Veränderliche elektromagnetische Felder","","v5q",,
"1.3.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","s9q",,
"1.3.1.1","Induktion durch Änderung des magnetischen Flusses","","e6z",,
"1.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","t6f",,
"1.3.2.1","Induktionsgesetz in differenzieller Form","","z9v",,
"2","Inhaltsbereich: Mechanische und elektromagnetische Schwingungen und Wellen","","y5f",,
"2.1","Schwingungen","","q4a",,
"2.1.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","d7h",,
"2.1.1.1","mechanische und elektromagnetische harmonische Schwingungen: charakteristische Größen und ihre Zusammenhänge","","u6g",,
"2.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","e5x",,
"2.1.2.1","gedämpfte Schwingungen","","v7g",,
"2.1.2.2","Vergleich von mechanischen und elektromagnetischen Schwingungen unter energetischen Aspekten","","h3b",,
"2.1.2.3","Resonanz bei erzwungenen Schwingungen","","y3c",,
"2.2","Eigenschaften und Ausbreitung von Wellen","","s7y",,
"2.2.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","g5b",,
"2.2.1.1","harmonische Wellen: charakteristische Größen und ihre Zusammenhänge","","s5x",,
"2.2.1.2","Longitudinal- und Transversalwelle, lineare Polarisation","","v2v",,
"2.2.1.3","Spektrum elektromagnetischer Wellen","","q7u",,
"2.3","Überlagerung von Wellen","","y4b",,
"2.3.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","e6q",,
"2.3.1.1","Interferenz am Doppelspalt auch mit polychromatischem Licht","","x6p",,
"2.3.1.2","stehende Wellen","","g7x",,
"2.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","g9e",,
"2.3.2.1","Einzelspalt mit monochromatischem Licht","","a7z",,
"2.3.2.2","Interferometer","","d6t",,
"3","Inhaltsbereich: Quantenphysik und Materie","","x3x",,
"3.1","Quantenobjekte","","b2d",,
"3.1.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","g7d",,
"3.1.1.1","Grundlegende Aspekte der Quantentheorie: Stochastische Vorhersagbarkeit, Interferenz und Superposition, Determiniertheit der Zufallsverteilung, Komplementarität","","u4c",,
"3.1.1.2","Zusammenhänge der Größen Energie, Impuls, Frequenz und Wellenlänge zur Beschreibung von Quantenobjekten","","r9c",,
"3.1.1.3","quantenphysikalisches Weltbild hinsichtlich der Begriffe Realität, Lokalität, Kausalität, Determinismus","","z5e",,
"3.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","d2g",,
"3.1.2.1","stochastische Deutung mittels des Quadrats der quantenmechanischen Wellenfunktion (qualitativ)","","b6v",,
"3.1.2.2","Ort-Impuls-Unbestimmtheit","","e9x",,
"3.1.2.3","Koinzidenzmethode zum Nachweis einzelner Photonen","","s4p",,
"3.2","Atomvorstellungen","","r9h",,
"3.2.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","v4s",,
"3.2.1.1","qualitative Betrachtung eines quantenmechanischen Atommodells","","y2e",,
"3.2.1.2","Emission und Absorption, Zusammenhang zwischen diskretem Spektrum und Energieniveauschema","","c5g",,
"3.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","u9y",,
"3.2.2.1","Modell des eindimensionalen Potenzialtopfs und seine Grenzen","","v9h",,